qa_id,step,country,map_no,template_no,source_index,ability_level,reward_pattern,correct_count,mean_reward,signal_class,clipped_ratio,entropy,grad_norm,selection_reason
mapwise_india_map89_4D_t39_src1506,101,india,map89_4D,39,1506,L2,"1,1,1,0",3,0.75,mixed,0.25,0.21026111394166946,0.03076171875,retain_all_mixed_signal
mapwise_china_map2_3C_t33_src0018,106,china,map2_3C,33,18,L3,"0,0,0,1",1,0.25,mixed,0.5,0.19917967915534973,0.047119140625,retain_all_mixed_signal
mapwise_india_map152_3D_t9_src1839,107,india,map152_3D,9,1839,L1,"1,0,0,1",2,0.5,mixed,0.0,0.1641207728534937,0.05419921875,retain_all_mixed_signal
mapwise_india_map139_1C_t18_src1814,110,india,map139_1C,18,1814,L3,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.0,0.3804146274924278,0.0,balance_L3_hard_nonfullclip
mapwise_china_map8_7D_t34_src0537,112,china,map8_7D,34,537,L3,"0,0,1,0",1,0.25,mixed,0.75,0.07998053729534149,0.05322265625,retain_all_mixed_signal
mapwise_china_map22_6D_t41_src0714,113,china,map22_6D,41,714,L0,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.25,0.18820057809352875,0.0,balance_L0_hard_nonfullclip
mapwise_usa_map_584_t22_src2460,114,usa,map_584,22,2460,L2,"1,1,1,0",3,0.75,mixed,0.25,0.17558162659406662,0.02099609375,retain_all_mixed_signal
mapwise_india_map62_5D_t5_src1381,115,india,map62_5D,5,1381,L0,"1,0,1,1",3,0.75,mixed,0.0,0.23184852302074432,0.037109375,retain_all_mixed_signal
mapwise_china_map9_0D_t8_src0343,116,china,map9_0D,8,343,L0,"1,1,1,1",4,1.0,all_correct,0.0,0.09472213871777058,0.0,balance_L0_easy_all_correct
mapwise_usa_map_7_t4_src2136,117,usa,map_7,4,2136,L0,"1,1,1,1",4,1.0,all_correct,0.0,0.14866760559380054,0.0,balance_L0_easy_all_correct
mapwise_china_map13_4D_t16_src0384,119,china,map13_4D,16,384,L1,"1,1,1,1",4,1.0,all_correct,0.0,0.10562212020158768,0.0,balance_L1_easy_all_correct
mapwise_china_map21_1D_t6_src0455,122,china,map21_1D,6,455,L0,"0,0,0,1",1,0.25,mixed,0.0,0.3743751496076584,0.1865234375,retain_all_mixed_signal
mapwise_usa_map_4_t41_src2860,123,usa,map_4,41,2860,L0,"1,1,1,1",4,1.0,all_correct,0.0,0.2798832654953003,0.0,balance_L0_easy_all_correct
mapwise_china_map9_7C_t23_src0615,125,china,map9_7C,23,615,L2,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.5,0.20520656555891037,0.0,balance_L2_hard_nonfullclip
mapwise_india_map105_6C_t30_src1653,127,india,map105_6C,30,1653,L2,"0,1,1,0",2,0.5,mixed,0.5,0.18044599890708923,0.04150390625,retain_all_mixed_signal
mapwise_usa_map_13555_t36_src2672,128,usa,map_13555,36,2672,L3,"1,1,1,1",4,1.0,all_correct,0.0,0.28566689789295197,0.0,balance_L3_easy_all_correct
mapwise_usa_map_20746_t34_src2221,135,usa,map_20746,34,2221,L3,"0,1,0,0",1,0.25,mixed,0.0,0.38627060502767563,0.027099609375,retain_all_mixed_signal
mapwise_usa_map_3689_t5_src2518,137,usa,map_3689,5,2518,L0,"1,1,1,1",4,1.0,all_correct,0.0,0.17916032671928406,0.0,balance_L0_easy_all_correct
mapwise_india_map92_2C_t18_src1549,138,india,map92_2C,18,1549,L3,"1,1,1,1",4,1.0,all_correct,0.0,0.34069546312093735,0.0,balance_L3_easy_all_correct
mapwise_india_map168_4C_t16_src1957,139,india,map168_4C,16,1957,L1,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.75,0.07782050967216492,0.0,balance_L1_hard_nonfullclip
mapwise_china_map20_6C_t22_src0183,140,china,map20_6C,22,183,L2,"1,1,0,1",3,0.75,mixed,0.25,0.23356137424707413,0.02783203125,retain_all_mixed_signal
mapwise_india_map168_4C_t3_src1959,141,india,map168_4C,3,1959,L0,"1,1,1,1",4,1.0,all_correct,0.0,0.12015973217785358,0.0,balance_L0_easy_all_correct
